Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Department,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,KB-COLB-04,Alef Beis Coloring Book,Alef Beis Coloring Book,Alef Beis Coloring Book,Alef Beis Coloring Book,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,789185754464,789185754464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-AB-MWA,Alef Beis Magic Water Poster,Alef Beis Magic Water Poster,Alef Beis Magic Water Poster,Alef Beis Magic Water Poster,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,789185754723,789185754723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-SAS-TOR,Torah Stick A Stud,Torah Stick A Stud,Torah Stick A Stud,Torah Stick A Stud,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,760354962255,760354962255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-SUK-12,Sukkos Stick the Dots,Sukkos Stick the Dots,Sukkos Stick the Dots,Sukkos Stick the Dots,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,789185754013,789185754013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-SUK-11,Shivas Haminim Sticker Puzzle Set,Shivas Haminim Sticker Puzzle Set,Shivas Haminim Sticker Puzzle Set,Shivas Haminim Sticker Puzzle Set,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,789185754495,789185754495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-SMZ-USHP,Sukkos Shimmers Ushpizin,Sukkos Shimmers Ushpizin,Sukkos Shimmers Ushpizin,Sukkos Shimmers Ushpizin,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,789185754679,789185754679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-TOR-VEL,Torah Velvet Poster,Torah Velvet Poster,Torah Velvet Poster,Torah Velvet Poster,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,789185754761,789185754761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-SAS-SBS,Shabbos Stick A Stud,Shabbos Stick A Stud,Shabbos Stick A Stud,Shabbos Stick A Stud,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,760354962231,760354962231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-JMB-05,Jumbo Sticker Puzzle Ushpizin,Jumbo Sticker Puzzle Ushpizin,Jumbo Sticker Puzzle Ushpizin,Jumbo Sticker Puzzle Ushpizin,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,789185753924,789185753924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-SBS-MWA,Shabbos Magic Water Poster,Shabbos Magic Water Poster,Shabbos Magic Water Poster,Shabbos Magic Water Poster,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,789185754051,789185754051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
