Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Department,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,CMCV-1001,CHANUKA MINI CAMRA VIEWER,CHANUKA MINI CAMRA VIEWER,CHANUKA MINI CAMRA VIEWER,CHANUKA MINI CAMRA VIEWER,Others,Chanukah,Chanukah Crafts,Cazenove,Cazenove,5060076438386,5060076438386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IB-1001,Iron On Beads,Iron On Beads,Iron On Beads,Iron On Beads,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060076434937,5060076434937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DL-810,Eraser Filled Dreidel,Eraser Filled Dreidel,Eraser Filled Dreidel,Eraser Filled Dreidel,Others,Chanukah,Chanukah Crafts,Cazenove,Cazenove,5060076437341,5060076437341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TISHREI DOTTY STICKER ART,TISHREI DOTTY STICKER ART,TISHREI DOTTY STICKER ART,TISHREI DOTTY STICKER ART,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060076437938,5060076437938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CC-1001,Cookie Cutters,Cookie Cutters,Cookie Cutters,Cookie Cutters,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060076430748,5060076430748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GT-6011,GIFT TAGS,GIFT TAGS,GIFT TAGS,GIFT TAGS,Others,Purim,Purim Crafts,Cazenove,Cazenove,5060076435248,5060076435248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1002,CLOWN NOISE MAKER,CLOWN NOISE MAKER,CLOWN NOISE MAKER,CLOWN NOISE MAKER,Others,Purim,Purim Crafts,Cazenove,Cazenove,5060076436795,5060076436795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSD-1001,GLOW STICK DREIDEL,GLOW STICK DREIDEL,GLOW STICK DREIDEL,GLOW STICK DREIDEL,Others,Chanukah,Chanukah Crafts,Cazenove,Cazenove,5060076437419,5060076437419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CPK-1004,SIMCHAS TORAH CANVAS PAINTING KIT,SIMCHAS TORAH CANVAS PAINTING KIT,SIMCHAS TORAH CANVAS PAINTING KIT,SIMCHAS TORAH CANVAS PAINTING KIT,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060076438041,5060076438041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FROGY,FROGY,FROGY,FROGY,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060076431585,5060076431585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
