Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Department,Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,,notebook composition,notebook composition,notebook composition,notebook composition,School Supplies,,NOTEBOOK,Mead,Mead,43100096849,43100096849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,notebook composition,notebook composition,notebook composition,notebook composition,School Supplies,,School Supplies,Mead,Mead,43100096863,43100096863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,notebook composition,notebook composition,notebook composition,notebook composition,School Supplies,,NOTEBOOK,Mead,Mead,43100096900,43100096900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,notebook composition,notebook composition,notebook composition,notebook composition,School Supplies,,School Supplies,Mead,Mead,43100096948,43100096948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,composition notebook college ruled 70 sheets,composition notebook college ruled 70 sheets,composition notebook college ruled 70 sheets,composition notebook college ruled 70 sheets,School Supplies,,,Mead,Mead,43100096986,43100096986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,notebook composition,notebook composition,notebook composition,notebook composition,School Supplies,,School Supplies,Mead,Mead,43100097006,43100097006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UP&UP COMPOSITION NOTEBOOK 70 SHEEET,UP&UP COMPOSITION NOTEBOOK 70 SHEEET,UP&UP COMPOSITION NOTEBOOK 70 SHEEET,UP&UP COMPOSITION NOTEBOOK 70 SHEEET,School Supplies,,School Supplies,Mead,Mead,43100097068,43100097068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,notebook composition,notebook composition,notebook composition,notebook composition,School Supplies,,,Mead,Mead,43100097167,43100097167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MEAD COMPOSITION BOOK FIVE STAR BLACK 100 sheets,MEAD COMPOSITION BOOK FIVE STAR BLACK 100 sheets,MEAD COMPOSITION BOOK FIVE STAR BLACK 100 sheets,MEAD COMPOSITION BOOK FIVE STAR BLACK 100 sheets,School Supplies,,School Supplies,Mead,Mead,43100103110,43100103110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MEAD COMPOSITION BOOK FIVE STAR,MEAD COMPOSITION BOOK FIVE STAR,MEAD COMPOSITION BOOK FIVE STAR,MEAD COMPOSITION BOOK FIVE STAR,School Supplies,,NOTEBOOK,Mead,Mead,43100103196,43100103196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,wide ruled composition book 100 sheets,wide ruled composition book 100 sheets,wide ruled composition book 100 sheets,wide ruled composition book 100 sheets,School Supplies,,School Supplies,Mead,Mead,43100103370,43100103370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MEAD: WIDE RULED COMPOSITION BOOK- GREEN,MEAD: WIDE RULED COMPOSITION BOOK- GREEN,MEAD: WIDE RULED COMPOSITION BOOK- GREEN,MEAD: WIDE RULED COMPOSITION BOOK- GREEN,School Supplies,,,Mead,Mead,43100103691,43100103691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MEAD: COMPOSITION BOOK FIVE STAR,MEAD: COMPOSITION BOOK FIVE STAR,MEAD: COMPOSITION BOOK FIVE STAR,MEAD: COMPOSITION BOOK FIVE STAR,School Supplies,,School Supplies,Mead,Mead,43100103714,43100103714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MEAD: WIDE RULED COMPOSITION BOOK- YELLOW 100 sheets,MEAD: WIDE RULED COMPOSITION BOOK- YELLOW 100 sheets,MEAD: WIDE RULED COMPOSITION BOOK- YELLOW 100 sheets,MEAD: WIDE RULED COMPOSITION BOOK- YELLOW 100 sheets,School Supplies,,School Supplies,Mead,Mead,43100103752,43100103752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,43100103813,43100103813,43100103813,43100103813,School Supplies,,,Mead,Mead,43100103813,43100103813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FIVE STAR NOTEBOOK,FIVE STAR NOTEBOOK,FIVE STAR NOTEBOOK,FIVE STAR NOTEBOOK,School Supplies,,,Mead,Mead,43100103837,43100103837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,college ruled composition bbook five star,college ruled composition bbook five star,college ruled composition bbook five star,college ruled composition bbook five star,School Supplies,,,Mead,Mead,43100103851,43100103851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,notebook,notebook,notebook,notebook,School Supplies,,,Mead,Mead,43100103875,43100103875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FIVE STAR COLLEGE RULED,FIVE STAR COLLEGE RULED,FIVE STAR COLLEGE RULED,FIVE STAR COLLEGE RULED,School Supplies,,,Mead,Mead,43100103899,43100103899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MEAD: COLLEGE RULED COMPOSITION BOOK,MEAD: COLLEGE RULED COMPOSITION BOOK,MEAD: COLLEGE RULED COMPOSITION BOOK,MEAD: COLLEGE RULED COMPOSITION BOOK,School Supplies,,,Mead,Mead,43100103936,43100103936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FIVE STAR 3 SUBJECT COLLEGE RULED NOTEBOOK 150 SHEETS,FIVE STAR 3 SUBJECT COLLEGE RULED NOTEBOOK 150 SHEETS,FIVE STAR 3 SUBJECT COLLEGE RULED NOTEBOOK 150 SHEETS,FIVE STAR 3 SUBJECT COLLEGE RULED NOTEBOOK 150 SHEETS,School Supplies,,,Mead,Mead,43100110736,43100110736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,WHITE PAPER COLLEGE RULED,WHITE PAPER COLLEGE RULED,WHITE PAPER COLLEGE RULED,WHITE PAPER COLLEGE RULED,School Supplies,,,Mead,Mead,43100150084,43100150084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#15167,FILLER PAPER REINFORCED,FILLER PAPER REINFORCED,FILLER PAPER REINFORCED,FILLER PAPER REINFORCED,School Supplies,,,Mead,Mead,43100150831,43100150831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15103,Mead Wide Ruled 150 sheets,Mead Wide Ruled 150 sheets,Mead Wide Ruled 150 sheets,Mead Wide Ruled 150 sheets,School Supplies,,,Mead,Mead,43100151036,43100151036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15111,150 college ruled paper,150 college ruled paper,150 college ruled paper,150 college ruled paper,School Supplies,,Paper,Mead,Mead,43100151111,43100151111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#15200,WIDE RULED PAPER 200 SHEETS,WIDE RULED PAPER 200 SHEETS,WIDE RULED PAPER 200 SHEETS,WIDE RULED PAPER 200 SHEETS,School Supplies,,School Supplies,Mead,Mead,43100152002,43100152002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
