Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ftÂ³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ftÂ³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ftÂ³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ftÂ³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,USBCAT,USB Chap A Tentzel,USB Chap A Tentzel,USB Chap A Tentzel,USB Chap A Tentzel,Others,CD/DVD/USB,Lchaim,Lchaim,826807221055,826807221055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USBLK,USB Collection Lchaim Kinder,USB Collection Lchaim Kinder,USB Collection Lchaim Kinder,USB Collection Lchaim Kinder,Others,CD/DVD/USB,Lchaim,Lchaim,826807221284,826807221284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USBLEB,USB Collection Lebadig Nigginim Simcha,USB Collection Lebadig Nigginim Simcha,USB Collection Lebadig Nigginim Simcha,USB Collection Lebadig Nigginim Simcha,Others,CD/DVD/USB,Lchaim,Lchaim,826807219281,826807219281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RSC,reusable stickers chanukah,reusable stickers chanukah,reusable stickers chanukah,reusable stickers chanukah,Others,Activity & Educational Books,Lchaim,Lchaim,9798893261349,9798893261349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CBE,Emotions Coloring Book Berry & Perry,Emotions Coloring Book Berry & Perry,Emotions Coloring Book Berry & Perry,Emotions Coloring Book Berry & Perry,Others,Painting & Coloring,Lchaim,Lchaim,9798893261837,9798893261837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CBT,Tishrei Coloring Book Berry & Perry Lchaim Kindergarten,Tishrei Coloring Book Berry & Perry Lchaim Kindergarten,Tishrei Coloring Book Berry & Perry Lchaim Kindergarten,Tishrei Coloring Book Berry & Perry Lchaim Kindergarten,Others,Painting & Coloring,Lchaim,Lchaim,826807218185,826807218185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CBTO,Torah Coloring Book Berry & Perry,Torah Coloring Book Berry & Perry,Torah Coloring Book Berry & Perry,Torah Coloring Book Berry & Perry,Others,Painting & Coloring,Lchaim,Lchaim,9798893261851,9798893261851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BBG,Blitzig Gaenfert,Blitzig Gaenfert,Blitzig Gaenfert,Blitzig Gaenfert,Others,Comics Books,Lchaim,Lchaim,9798893260496,9798893260496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BCOT,Chains Of Terror,Chains Of Terror,Chains Of Terror,Chains Of Terror,Others,Comics Books,Lchaim,Lchaim,9798893260274,9798893260274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BDD,Comic 200 Days of Dread,Comic 200 Days of Dread,Comic 200 Days of Dread,Comic 200 Days of Dread,Others,Comics Books,Lchaim,Lchaim,9798893260939,9798893260939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
