Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,E7474CU60,PD MINI CREATIONS,PD MINI CREATIONS,PD MINI CREATIONS,PD MINI CREATIONS,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,630509864430,630509864430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Play Doh Silly Snacks Noodles playset,Play Doh Silly Snacks Noodles playset,Play Doh Silly Snacks Noodles playset,Play Doh Silly Snacks Noodles playset,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,630509942527,630509942527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A4897,Play-Doh Super Color Kit-18 Cans,Play-Doh Super Color Kit-18 Cans,Play-Doh Super Color Kit-18 Cans,Play-Doh Super Color Kit-18 Cans,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,630509973736,630509973736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F1534,Play-Doh Big Time Classics,Play-Doh Big Time Classics,Play-Doh Big Time Classics,Play-Doh Big Time Classics,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,5010993908622,5010993908622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F13455L21,Play-Doh Builder Castle Kit,Play-Doh Builder Castle Kit,Play-Doh Builder Castle Kit,Play-Doh Builder Castle Kit,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,5010993925520,5010993925520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Play-Doh Kitchen Pizza Oven,Play-Doh Kitchen Pizza Oven,Play-Doh Kitchen Pizza Oven,Play-Doh Kitchen Pizza Oven,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,5010993954391,5010993954391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F36395L00,Play-Doh Care 'n Carry Vet Playset,Play-Doh Care 'n Carry Vet Playset,Play-Doh Care 'n Carry Vet Playset,Play-Doh Care 'n Carry Vet Playset,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,5010993954469,5010993954469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PLAY-DOH IMAGINE UNDERWATER SET,PLAY-DOH IMAGINE UNDERWATER SET,PLAY-DOH IMAGINE UNDERWATER SET,PLAY-DOH IMAGINE UNDERWATER SET,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,5010994208417,5010994208417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PLAY-DOH KITCHEN CREATIONS,PLAY-DOH KITCHEN CREATIONS,PLAY-DOH KITCHEN CREATIONS,PLAY-DOH KITCHEN CREATIONS,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,5010996216557,5010996216557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F15305L00,Play-Doh Bucket of Fun 20 Cans of Dough and 14 Accessories Back to School Supplies,Play-Doh Bucket of Fun 20 Cans of Dough and 14 Accessories Back to School Supplies,Play-Doh Bucket of Fun 20 Cans of Dough and 14 Accessories Back to School Supplies,Play-Doh Bucket of Fun 20 Cans of Dough and 14 Accessories Back to School Supplies,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,5010993819416,5010993819416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F18485L10,Play-Doh Sapphire Celebration 5-Pack,Play-Doh Sapphire Celebration 5-Pack,Play-Doh Sapphire Celebration 5-Pack,Play-Doh Sapphire Celebration 5-Pack,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,5010993825660,5010993825660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F1321-I,Play Doh: Kitchen Creations - Rising Cake Oven Playset,Play Doh: Kitchen Creations - Rising Cake Oven Playset,Play Doh: Kitchen Creations - Rising Cake Oven Playset,Play Doh: Kitchen Creations - Rising Cake Oven Playset,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,8809699514636,8809699514636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F6916,PLAY DOH PICNIC SHAPES STARTER SET,PLAY DOH PICNIC SHAPES STARTER SET,PLAY DOH PICNIC SHAPES STARTER SET,PLAY DOH PICNIC SHAPES STARTER SET,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,ABCDEFGHIJ,ABCDEFGHIJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Play-Doh,Play-Doh,Play-Doh,Play-Doh,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,630509952960,630509952960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,play-doh 35 pcs,play-doh 35 pcs,play-doh 35 pcs,play-doh 35 pcs,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,5010994157517,5010994157517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PLAY-DOH IMAGINE SHAPES SET,PLAY-DOH IMAGINE SHAPES SET,PLAY-DOH IMAGINE SHAPES SET,PLAY-DOH IMAGINE SHAPES SET,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,5010994208424,5010994208424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HAS-FF2831-5L00,HASBRO-PLAY-DOH BIG PACKS OF COLORS,HASBRO-PLAY-DOH BIG PACKS OF COLORS,HASBRO-PLAY-DOH BIG PACKS OF COLORS,HASBRO-PLAY-DOH BIG PACKS OF COLORS,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,5010993857883,5010993857883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
