Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Department,Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,NY57377,FDNY AERIAL SCOPE RADIO CONTROL FIRE TRUCK,FDNY AERIAL SCOPE RADIO CONTROL FIRE TRUCK,FDNY AERIAL SCOPE RADIO CONTROL FIRE TRUCK,FDNY AERIAL SCOPE RADIO CONTROL FIRE TRUCK,Vehicles & RC,,,DARON,DARON,817346027444,817346027444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RT4347,DARON UPS TRACTOR WITH TRAILER SET,DARON UPS TRACTOR WITH TRAILER SET,DARON UPS TRACTOR WITH TRAILER SET,DARON UPS TRACTOR WITH TRAILER SET,Vehicles & RC,,,DARON,DARON,817346028465,817346028465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RT6301,SPY PLAYSET,SPY PLAYSET,SPY PLAYSET,SPY PLAYSET,Vehicles & RC,,,DARON,DARON,817346028793,817346028793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LT200,"DARON LIL TRUCKERS, ARMY RADAR TRUCK","DARON LIL TRUCKERS, ARMY RADAR TRUCK","DARON LIL TRUCKERS, ARMY RADAR TRUCK","DARON LIL TRUCKERS, ARMY RADAR TRUCK",Vehicles & RC,,,DARON,DARON,817346028908,817346028908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LT201,"DARON LIL TRUCKERS, ARMY TANK","DARON LIL TRUCKERS, ARMY TANK","DARON LIL TRUCKERS, ARMY TANK","DARON LIL TRUCKERS, ARMY TANK",Vehicles & RC,,,DARON,DARON,817346028915,817346028915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LT202,"DARON LIL TRUCKERS, ARMY ATV","DARON LIL TRUCKERS, ARMY ATV","DARON LIL TRUCKERS, ARMY ATV","DARON LIL TRUCKERS, ARMY ATV",Vehicles & RC,,,DARON,DARON,817346028922,817346028922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LT300,"DARON LIL TRUCKERS, CONSTRUCTION DUMP TRUCK","DARON LIL TRUCKERS, CONSTRUCTION DUMP TRUCK","DARON LIL TRUCKERS, CONSTRUCTION DUMP TRUCK","DARON LIL TRUCKERS, CONSTRUCTION DUMP TRUCK",Vehicles & RC,,,DARON,DARON,817346028946,817346028946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LT301,"DARON LIL TRUCKERS, CONSTRUCTION LOADER","DARON LIL TRUCKERS, CONSTRUCTION LOADER","DARON LIL TRUCKERS, CONSTRUCTION LOADER","DARON LIL TRUCKERS, CONSTRUCTION LOADER",Vehicles & RC,,,DARON,DARON,817346028953,817346028953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LT302,"DARON LIL TRUCKERS, CONSTRUCTION CRANE","DARON LIL TRUCKERS, CONSTRUCTION CRANE","DARON LIL TRUCKERS, CONSTRUCTION CRANE","DARON LIL TRUCKERS, CONSTRUCTION CRANE",Vehicles & RC,,,DARON,DARON,817346028960,817346028960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LT400,"DARON LIL TRUCKERS, FIRE LADDER TRUCK","DARON LIL TRUCKERS, FIRE LADDER TRUCK","DARON LIL TRUCKERS, FIRE LADDER TRUCK","DARON LIL TRUCKERS, FIRE LADDER TRUCK",Vehicles & RC,,,DARON,DARON,817346028984,817346028984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LT500,"DARON LIL TRUCKERS, CITY ROAD ROLLER","DARON LIL TRUCKERS, CITY ROAD ROLLER","DARON LIL TRUCKERS, CITY ROAD ROLLER","DARON LIL TRUCKERS, CITY ROAD ROLLER",Vehicles & RC,,,DARON,DARON,817346029028,817346029028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LT502,"DARON LIL TRUCKERS, CITY SNOW PLOW","DARON LIL TRUCKERS, CITY SNOW PLOW","DARON LIL TRUCKERS, CITY SNOW PLOW","DARON LIL TRUCKERS, CITY SNOW PLOW",Vehicles & RC,,,DARON,DARON,817346029035,817346029035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LT502,"DARON LIL TRUCKERS, CITY DUMP TRUCK","DARON LIL TRUCKERS, CITY DUMP TRUCK","DARON LIL TRUCKERS, CITY DUMP TRUCK","DARON LIL TRUCKERS, CITY DUMP TRUCK",Vehicles & RC,,,DARON,DARON,817346029042,817346029042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
