Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,,GLITTER TAPE,GLITTER TAPE,GLITTER TAPE,GLITTER TAPE,Others,Craft Kits Beads & DIY,BAZIC,BAZIC,764608009604,764608009604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GLITTER,GLITTER,GLITTER,GLITTER,Others,Craft Kits Beads & DIY,BAZIC,BAZIC,764608034828,764608034828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GLITER SHAKER,GLITER SHAKER,GLITER SHAKER,GLITER SHAKER,Others,Craft Kits Beads & DIY,BAZIC,BAZIC,764608034415,764608034415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BASIC GLITTER SHAKER,BASIC GLITTER SHAKER,BASIC GLITTER SHAKER,BASIC GLITTER SHAKER,Others,Craft Kits Beads & DIY,BAZIC,BAZIC,764608034835,764608034835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,321,wood ruler,wood ruler,wood ruler,wood ruler,Others,Erasers & Rulers,BAZIC,BAZIC,764608003213,764608003213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6007,WHITEBOARD ERASER,WHITEBOARD ERASER,WHITEBOARD ERASER,WHITEBOARD ERASER,Others,Erasers & Rulers,BAZIC,BAZIC,764608060070,764608060070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2205,PINK ERASER PACK,PINK ERASER PACK,PINK ERASER PACK,PINK ERASER PACK,Others,Erasers & Rulers,BAZIC,BAZIC,764608022054,764608022054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VINYL ERASER,VINYL ERASER,VINYL ERASER,VINYL ERASER,Others,Erasers & Rulers,BAZIC,BAZIC,764608022238,764608022238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,WHITEBOARD ERASER,WHITEBOARD ERASER,WHITEBOARD ERASER,WHITEBOARD ERASER,Others,Erasers & Rulers,BAZIC,BAZIC,764608060063,764608060063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAPS ERASER,CAPS ERASER,CAPS ERASER,CAPS ERASER,Others,Erasers & Rulers,BAZIC,BAZIC,764608022061,764608022061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,RULER,RULER,RULER,RULER,Others,Erasers & Rulers,BAZIC,BAZIC,764608003251,764608003251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAPS ERASER,CAPS ERASER,CAPS ERASER,CAPS ERASER,Others,Erasers & Rulers,BAZIC,BAZIC,764608022047,764608022047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MAGNETIC DRY-ERASE BOARD,MAGNETIC DRY-ERASE BOARD,MAGNETIC DRY-ERASE BOARD,MAGNETIC DRY-ERASE BOARD,Others,Erasers & Rulers,BAZIC,BAZIC,764608060131,764608060131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3 PACK RULERS,3 PACK RULERS,3 PACK RULERS,3 PACK RULERS,Others,Erasers & Rulers,BAZIC,BAZIC,764608003381,764608003381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,RULER,RULER,RULER,RULER,Others,Erasers & Rulers,BAZIC,BAZIC,764608003206,764608003206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,STICK ERASER,STICK ERASER,STICK ERASER,STICK ERASER,Others,Erasers & Rulers,BAZIC,BAZIC,764608022115,764608022115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,STAINLESS STEEL RULER,STAINLESS STEEL RULER,STAINLESS STEEL RULER,STAINLESS STEEL RULER,Others,Erasers & Rulers,BAZIC,BAZIC,764608003169,764608003169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,STENCIL RULER SETS,STENCIL RULER SETS,STENCIL RULER SETS,STENCIL RULER SETS,Others,Erasers & Rulers,BAZIC,BAZIC,764608003053,764608003053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ERASER 4 PACK,ERASER 4 PACK,ERASER 4 PACK,ERASER 4 PACK,Others,Erasers & Rulers,BAZIC,BAZIC,764608022016,764608022016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOARD ERASER,BOARD ERASER,BOARD ERASER,BOARD ERASER,Others,Erasers & Rulers,BAZIC,BAZIC,764608060056,764608060056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MAGNETIC DRY ERASE BOARD,MAGNETIC DRY ERASE BOARD,MAGNETIC DRY ERASE BOARD,MAGNETIC DRY ERASE BOARD,Others,Erasers & Rulers,BAZIC,BAZIC,764608060216,764608060216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Princess 3D eraser,Princess 3D eraser,Princess 3D eraser,Princess 3D eraser,Others,Erasers & Rulers,BAZIC,BAZIC,764608022511,764608022511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11X14 DRY ERASE BOARD,11X14 DRY ERASE BOARD,11X14 DRY ERASE BOARD,11X14 DRY ERASE BOARD,Others,Erasers & Rulers,BAZIC,BAZIC,764608060124,764608060124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,eraser caps,eraser caps,eraser caps,eraser caps,Others,Erasers & Rulers,BAZIC,BAZIC,764608022023,764608022023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MAGNETIC DRI ERASER,MAGNETIC DRI ERASER,MAGNETIC DRI ERASER,MAGNETIC DRI ERASER,Others,Erasers & Rulers,BAZIC,BAZIC,764608060421,764608060421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Retractable Stick Eraser,Retractable Stick Eraser,Retractable Stick Eraser,Retractable Stick Eraser,Others,Erasers & Rulers,BAZIC,BAZIC,764608022160,764608022160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3D ERASER SNACK SHOP,3D ERASER SNACK SHOP,3D ERASER SNACK SHOP,3D ERASER SNACK SHOP,Others,Erasers & Rulers,BAZIC,BAZIC,764608022504,764608022504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MASKING TAPE,MASKING TAPE,MASKING TAPE,MASKING TAPE,Others,Glue & Tape,BAZIC,BAZIC,764608009512,764608009512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2090,GLUE STICKS,GLUE STICKS,GLUE STICKS,GLUE STICKS,Others,Glue & Tape,BAZIC,BAZIC,764608020906,764608020906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLEAR TAPE,CLEAR TAPE,CLEAR TAPE,CLEAR TAPE,Others,Glue & Tape,BAZIC,BAZIC,764608009284,764608009284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GLITTER GLUE,GLITTER GLUE,GLITTER GLUE,GLITTER GLUE,Others,Glue & Tape,BAZIC,BAZIC,764608034606,764608034606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TAPE,TAPE,TAPE,TAPE,Others,Glue & Tape,BAZIC,BAZIC,764608009062,764608009062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOUBLE SIDED TAPE,DOUBLE SIDED TAPE,DOUBLE SIDED TAPE,DOUBLE SIDED TAPE,Others,Glue & Tape,BAZIC,BAZIC,764608009307,764608009307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
