Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ftÂ³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ftÂ³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ftÂ³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ftÂ³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,ksc-boys,KRIAS SHEMA CARD,KRIAS SHEMA CARD,KRIAS SHEMA CARD,KRIAS SHEMA CARD,Others,Judaica Crafts,Colours Craft,Colours Craft,896545126356,896545126356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qb,Quilled Birds Kit,Quilled Birds Kit,Quilled Birds Kit,Quilled Birds Kit,Others,Judaica Crafts,Colours Craft,Colours Craft,195893083091,195893083091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,lnr,Lucite Rhinestone Napkin Rings,Lucite Rhinestone Napkin Rings,Lucite Rhinestone Napkin Rings,Lucite Rhinestone Napkin Rings,Others,Judaica Crafts,Colours Craft,Colours Craft,195893104277,195893104277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mgk,Miniature Garden Kit,Miniature Garden Kit,Miniature Garden Kit,Miniature Garden Kit,Others,Judaica Crafts,Colours Craft,Colours Craft,195893219582,195893219582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,frp - butterfly,Rhinestone Pillow Butterfly,Rhinestone Pillow Butterfly,Rhinestone Pillow Butterfly,Rhinestone Pillow Butterfly,Others,Judaica Crafts,Colours Craft,Colours Craft,195893278817,195893278817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,frp - pink teddy,Rhinestone Pillow Pink Yiddish Teddy,Rhinestone Pillow Pink Yiddish Teddy,Rhinestone Pillow Pink Yiddish Teddy,Rhinestone Pillow Pink Yiddish Teddy,Others,Judaica Crafts,Colours Craft,Colours Craft,195893309177,195893309177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,frp - floral,Rhinestone Pillow Floral,Rhinestone Pillow Floral,Rhinestone Pillow Floral,Rhinestone Pillow Floral,Others,Judaica Crafts,Colours Craft,Colours Craft,195893417599,195893417599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,wcp,3D Wooden Carousel Puzzle,3D Wooden Carousel Puzzle,3D Wooden Carousel Puzzle,3D Wooden Carousel Puzzle,Others,Judaica Crafts,Colours Craft,Colours Craft,195893665624,195893665624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,wsbp,3D Wooden Sailboat Puzzle,3D Wooden Sailboat Puzzle,3D Wooden Sailboat Puzzle,3D Wooden Sailboat Puzzle,Others,Judaica Crafts,Colours Craft,Colours Craft,195893731176,195893731176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,wtp,3D Wooden DIgger Puzzle,3D Wooden DIgger Puzzle,3D Wooden DIgger Puzzle,3D Wooden DIgger Puzzle,Others,Judaica Crafts,Colours Craft,Colours Craft,195893794119,195893794119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,wpcp,3D Wooden Police Car Puzzle,3D Wooden Police Car Puzzle,3D Wooden Police Car Puzzle,3D Wooden Police Car Puzzle,Others,Judaica Crafts,Colours Craft,Colours Craft,195893804214,195893804214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sbk,Sequin Art Balloon Kit,Sequin Art Balloon Kit,Sequin Art Balloon Kit,Sequin Art Balloon Kit,Others,Judaica Crafts,Colours Craft,Colours Craft,196852216086,196852216086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pntw,Paint By Number Teddy Window,Paint By Number Teddy Window,Paint By Number Teddy Window,Paint By Number Teddy Window,Others,Judaica Crafts,Colours Craft,Colours Craft,196852710768,196852710768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pnv,Paint By Number Violin,Paint By Number Violin,Paint By Number Violin,Paint By Number Violin,Others,Judaica Crafts,Colours Craft,Colours Craft,196852848829,196852848829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,rdk,Rhinestone Diffuser Kit,Rhinestone Diffuser Kit,Rhinestone Diffuser Kit,Rhinestone Diffuser Kit,Others,Judaica Crafts,Colours Craft,Colours Craft,196852956340,196852956340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,fbk,Foam Bedroom Puzzle 2,Foam Bedroom Puzzle 2,Foam Bedroom Puzzle 2,Foam Bedroom Puzzle 2,Others,Judaica Crafts,Colours Craft,Colours Craft,197644082254,197644082254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
