Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ftÂ³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ftÂ³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ftÂ³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ftÂ³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,2673,MB Sprinter Fire Engine W/ Ladder,MB Sprinter Fire Engine W/ Ladder,MB Sprinter Fire Engine W/ Ladder,MB Sprinter Fire Engine W/ Ladder,Others,Emergency & Service Vehicles,bruder,bruder,4001702026738,4001702026738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2675,Sprinter Autotransporter with Roadster,Sprinter Autotransporter with Roadster,Sprinter Autotransporter with Roadster,Sprinter Autotransporter with Roadster,Others,Emergency & Service Vehicles,bruder,bruder,4001702026752,4001702026752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2676,Sprinter Ambulance with Driver,Sprinter Ambulance with Driver,Sprinter Ambulance with Driver,Sprinter Ambulance with Driver,Others,Emergency & Service Vehicles,bruder,bruder,4001702026769,4001702026769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2678,Bruder Mercedes-Benz Sprinter UPS Truck,Bruder Mercedes-Benz Sprinter UPS Truck,Bruder Mercedes-Benz Sprinter UPS Truck,Bruder Mercedes-Benz Sprinter UPS Truck,Others,Cars & Trucks,bruder,bruder,4001702026783,4001702026783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2679,MB Sprinter W/Working Platform,MB Sprinter W/Working Platform,MB Sprinter W/Working Platform,MB Sprinter W/Working Platform,Others,Emergency & Service Vehicles,bruder,bruder,4001702026790,4001702026790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2680,MB Sprinter Fire Rescue with Water Pump,MB Sprinter Fire Rescue with Water Pump,MB Sprinter Fire Rescue with Water Pump,MB Sprinter Fire Rescue with Water Pump,Others,Emergency & Service Vehicles,bruder,bruder,4001702026806,4001702026806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2682,Sprinter Municipal Garbage Vehicle,Sprinter Municipal Garbage Vehicle,Sprinter Municipal Garbage Vehicle,Sprinter Municipal Garbage Vehicle,Others,,bruder,bruder,4001702026820,4001702026820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2683,MB Sprinter Police Emergency Vehicle,MB Sprinter Police Emergency Vehicle,MB Sprinter Police Emergency Vehicle,MB Sprinter Police Emergency Vehicle,Others,Emergency & Service Vehicles,bruder,bruder,4001702026837,4001702026837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2774,Bruder Man TGA Loader Truck with Manitou Loader,Bruder Man TGA Loader Truck with Manitou Loader,Bruder Man TGA Loader Truck with Manitou Loader,Bruder Man TGA Loader Truck with Manitou Loader,Others,Cars & Trucks,bruder,bruder,4001702027742,4001702027742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2818,Mach Granite Liebherr Crane Truck,Mach Granite Liebherr Crane Truck,Mach Granite Liebherr Crane Truck,Mach Granite Liebherr Crane Truck,Others,Cars & Trucks,bruder,bruder,4001702028183,4001702028183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
