UPC Code,Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Department,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
786138701827,,3112,MODELING CLAY TRANSPORTER SET,MODELING CLAY TRANSPORTER SET,MODELING CLAY TRANSPORTER SET,MODELING CLAY TRANSPORTER SET,Arts & Crafts ,Arts & Crafts,Modeling & Play-Doh,PLAYKIDIZ ,PLAYKIDIZ ,786138701827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138701902,,3133,MODELING CLAY FRUIT SHOP,MODELING CLAY FRUIT SHOP,MODELING CLAY FRUIT SHOP,MODELING CLAY FRUIT SHOP,Arts & Crafts ,Arts & Crafts,Modeling & Play-Doh,PLAYKIDIZ ,PLAYKIDIZ ,786138701902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138702060,,3128,MODELING CLAY NEON 12 COLORS,MODELING CLAY NEON 12 COLORS,MODELING CLAY NEON 12 COLORS,MODELING CLAY NEON 12 COLORS,Arts & Crafts ,Arts & Crafts,Modeling & Play-Doh,PLAYKIDIZ ,PLAYKIDIZ ,786138702060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138701865,,3116,MODELING CLAY 8 COLORS,MODELING CLAY 8 COLORS,MODELING CLAY 8 COLORS,MODELING CLAY 8 COLORS,Arts & Crafts ,Arts & Crafts,Modeling & Play-Doh,PLAYKIDIZ ,PLAYKIDIZ ,786138701865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138701889,,3132,MODELING CLAY BBQ,MODELING CLAY BBQ,MODELING CLAY BBQ,MODELING CLAY BBQ,Arts & Crafts ,Arts & Crafts,Modeling & Play-Doh,PLAYKIDIZ ,PLAYKIDIZ ,786138701889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138701834,,PK-3113,MODELING CLAY 4 PRIMARY COLORS,MODELING CLAY 4 PRIMARY COLORS,MODELING CLAY 4 PRIMARY COLORS,MODELING CLAY 4 PRIMARY COLORS,Arts & Crafts ,Arts & Crafts,Modeling & Play-Doh,PLAYKIDIZ ,PLAYKIDIZ ,786138701834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138701919,,3133,MODELING CLAY AMERICAN FOOD,MODELING CLAY AMERICAN FOOD,MODELING CLAY AMERICAN FOOD,MODELING CLAY AMERICAN FOOD,Arts & Crafts ,Arts & Crafts,Modeling & Play-Doh,PLAYKIDIZ ,PLAYKIDIZ ,786138701919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138702077,,3129,MODELING CLAY,MODELING CLAY,MODELING CLAY,MODELING CLAY,Arts & Crafts ,Arts & Crafts,Modeling & Play-Doh,PLAYKIDIZ ,PLAYKIDIZ ,786138702077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138701872,,3117,MODELING CLAY TOOLS SET,MODELING CLAY TOOLS SET,MODELING CLAY TOOLS SET,MODELING CLAY TOOLS SET,Arts & Crafts ,Arts & Crafts,Modeling & Play-Doh,PLAYKIDIZ ,PLAYKIDIZ ,786138701872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138701810,,3111,MODELING CLAY 12 COLORS,MODELING CLAY 12 COLORS,MODELING CLAY 12 COLORS,MODELING CLAY 12 COLORS,Arts & Crafts ,Arts & Crafts,Modeling & Play-Doh,PLAYKIDIZ ,PLAYKIDIZ ,786138701810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
