Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ftÂ³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ftÂ³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ftÂ³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ftÂ³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,14227,"Molang 10"" Scuba Molang Plush","Molang 10"" Scuba Molang Plush","Molang 10"" Scuba Molang Plush","Molang 10"" Scuba Molang Plush",Others,Stuffed Animals,Aurora,Aurora,92943142275,92943142275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14270,"Green Tea Meowchi Plush 7""","Green Tea Meowchi Plush 7""","Green Tea Meowchi Plush 7""","Green Tea Meowchi Plush 7""",Others,Character Plush,Aurora,Aurora,92943142701,92943142701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14271,"Tasty Peach 7"" Custard Meowchi","Tasty Peach 7"" Custard Meowchi","Tasty Peach 7"" Custard Meowchi","Tasty Peach 7"" Custard Meowchi",Others,Character Plush,Aurora,Aurora,92943142718,92943142718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14274,"Tasty Peach Mint Meowchi 7"" Plush","Tasty Peach Mint Meowchi 7"" Plush","Tasty Peach Mint Meowchi 7"" Plush","Tasty Peach Mint Meowchi 7"" Plush",Others,Character Plush,Aurora,Aurora,92943142749,92943142749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14275,"Tasty Peach Taro Meowchi 7"" Plush","Tasty Peach Taro Meowchi 7"" Plush","Tasty Peach Taro Meowchi 7"" Plush","Tasty Peach Taro Meowchi 7"" Plush",Others,Character Plush,Aurora,Aurora,92943142756,92943142756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14276,"Tasty Peach Unicorn Meowchi 15"" Plush","Tasty Peach Unicorn Meowchi 15"" Plush","Tasty Peach Unicorn Meowchi 15"" Plush","Tasty Peach Unicorn Meowchi 15"" Plush",Others,Character Plush,Aurora,Aurora,92943142763,92943142763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14277,"Vanilla Berry Nom-Whal 12.5""","Vanilla Berry Nom-Whal 12.5""","Vanilla Berry Nom-Whal 12.5""","Vanilla Berry Nom-Whal 12.5""",Others,Stuffed Animals,Aurora,Aurora,92943142770,92943142770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14288,"Tasty Peach Hot Pink & Yellow Berry Sunset Meowchi 7""","Tasty Peach Hot Pink & Yellow Berry Sunset Meowchi 7""","Tasty Peach Hot Pink & Yellow Berry Sunset Meowchi 7""","Tasty Peach Hot Pink & Yellow Berry Sunset Meowchi 7""",Others,Character Plush,Aurora,Aurora,92943142886,92943142886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14289,Lavender 7'' Dream Meowchi Plush,Lavender 7'' Dream Meowchi Plush,Lavender 7'' Dream Meowchi Plush,Lavender 7'' Dream Meowchi Plush,Others,Character Plush,Aurora,Aurora,92943142893,92943142893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14294,"Tasty Peach Pink & Blue Lollipop Nomwhal Plush 7""","Tasty Peach Pink & Blue Lollipop Nomwhal Plush 7""","Tasty Peach Pink & Blue Lollipop Nomwhal Plush 7""","Tasty Peach Pink & Blue Lollipop Nomwhal Plush 7""",Others,Stuffed Animals,Aurora,Aurora,92943142947,92943142947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
