Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,3118-P,My First Pogo Stick - Foam Pogo Jumper - Pink,My First Pogo Stick - Foam Pogo Jumper - Pink,My First Pogo Stick - Foam Pogo Jumper - Pink,My First Pogo Stick - Foam Pogo Jumper - Pink,Others,Sports & Active Play,NEW BOUNCE,,86138107163,86138107163,,,,,,,,,,,,,,,,,,,4,2,4,,,,,,,,,,,,,,,,,,,,
,3118-PL,My First Pogo - Purple,My First Pogo - Purple,My First Pogo - Purple,My First Pogo - Purple,Others,Sports & Active Play,NEW BOUNCE,,786138809974,786138809974,,,,,,,,,,,,,,,,,,,4,4,2,,,,,,,,,,,,,,,,,,,,
,3118-R,My First Pogo Stick - Foam Pogo Jumper - Red,My First Pogo Stick - Foam Pogo Jumper - Red,My First Pogo Stick - Foam Pogo Jumper - Red,My First Pogo Stick - Foam Pogo Jumper - Red,Others,Sports & Active Play,NEW BOUNCE,,86138107149,86138107149,,,,,,,,,,,,,,,,,,,4,2,4,,,,,,,,,,,,,,,,,,,,
,3119-L,Inline Roller Skates - Boys - Size 6-9,Inline Roller Skates - Boys - Size 6-9,Inline Roller Skates - Boys - Size 6-9,Inline Roller Skates - Boys - Size 6-9,Others,Sports & Active Play,NEW BOUNCE,,86138107286,86138107286,,,,,,,,,,,,,,,,,,,16,12,8,,5,,,,,,,,,,,,,,,,,,
,3119-M,Inline Roller Skates - Boys - Size 2-5,Inline Roller Skates - Boys - Size 2-5,Inline Roller Skates - Boys - Size 2-5,Inline Roller Skates - Boys - Size 2-5,Others,Sports & Active Play,NEW BOUNCE,,86138107279,86138107279,,,,,,,,,,,,,,,,,,,16,12,8,,5,,,,,,,,,,,,,,,,,,
,3119-S,Inline Roller Skates - Boys - Size 12-1,Inline Roller Skates - Boys - Size 12-1,Inline Roller Skates - Boys - Size 12-1,Inline Roller Skates - Boys - Size 12-1,Others,Sports & Active Play,NEW BOUNCE,,86138107262,86138107262,,,,,,,,,,,,,,,,,,,16,12,8,,4,,,,,,,,,,,,,,,,,,
,3119-XS,Inline Roller/Tri Skates - Boys - Size J8-J11,Inline Roller/Tri Skates - Boys - Size J8-J11,Inline Roller/Tri Skates - Boys - Size J8-J11,Inline Roller/Tri Skates - Boys - Size J8-J11,Others,Sports & Active Play,NEW BOUNCE,,86138107347,86138107347,,,,,,,,,,,,,,,,,,,16,12,8,,4,,,,,,,,,,,,,,,,,,
,3120-L,Inline Roller Skates - Girls - Size 6-9,Inline Roller Skates - Girls - Size 6-9,Inline Roller Skates - Girls - Size 6-9,Inline Roller Skates - Girls - Size 6-9,Others,Sports & Active Play,NEW BOUNCE,,86138107316,86138107316,,,,,,,,,,,,,,,,,,,16,12,8,,4,,,,,,,,,,,,,,,,,,
,3120-M,Inline Roller Skates - Girls - Size 2-5,Inline Roller Skates - Girls - Size 2-5,Inline Roller Skates - Girls - Size 2-5,Inline Roller Skates - Girls - Size 2-5,Others,Sports & Active Play,NEW BOUNCE,,86138107309,86138107309,,,,,,,,,,,,,,,,,,,16,12,8,,4,,,,,,,,,,,,,,,,,,
,3120-S,Inline Roller Skates - Girls - Size 12-1,Inline Roller Skates - Girls - Size 12-1,Inline Roller Skates - Girls - Size 12-1,Inline Roller Skates - Girls - Size 12-1,Others,Sports & Active Play,NEW BOUNCE,,86138107293,86138107293,,,,,,,,,,,,,,,,,,,16,12,8,,4,,,,,,,,,,,,,,,,,,
,3120-XS,Inline Roller/Tri Skates - Girls - Size J8-J11,Inline Roller/Tri Skates - Girls - Size J8-J11,Inline Roller/Tri Skates - Girls - Size J8-J11,Inline Roller/Tri Skates - Girls - Size J8-J11,Others,Sports & Active Play,NEW BOUNCE,,86138107354,86138107354,,,,,,,,,,,,,,,,,,,16,12,8,,4,,,,,,,,,,,,,,,,,,
,3128-B,"Life Vest, Puddle Jumper with Arm Floats- Blue","Life Vest, Puddle Jumper with Arm Floats- Blue","Life Vest, Puddle Jumper with Arm Floats- Blue","Life Vest, Puddle Jumper with Arm Floats- Blue",Others,Sports & Active Play,NEW BOUNCE,,786138803132,786138803132,,,,,,,,,,,,,,,,,,,12,8,10,,,,,,,,,,,,,,,,,,,,
,3128-P,"Life Vest, Puddle Jumper with Arm Floats- Pink","Life Vest, Puddle Jumper with Arm Floats- Pink","Life Vest, Puddle Jumper with Arm Floats- Pink","Life Vest, Puddle Jumper with Arm Floats- Pink",Others,Sports & Active Play,NEW BOUNCE,,786138803149,786138803149,,,,,,,,,,,,,,,,,,,12,8,10,,,,,,,,,,,,,,,,,,,,
,3129-G,Toddler Swing Seat -Bucket Swing - Dark Green,Toddler Swing Seat -Bucket Swing - Dark Green,Toddler Swing Seat -Bucket Swing - Dark Green,Toddler Swing Seat -Bucket Swing - Dark Green,Others,Sports & Active Play,NEW BOUNCE,,786138803156,786138803156,,,,,,,,,,,,,,,,,,,14,12,10,,8,,,,,,,,,,,,,,,,,,
