Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Department,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,,MYDC HAIR ACCESSORIES,MYDC HAIR ACCESSORIES,MYDC HAIR ACCESSORIES,MYDC HAIR ACCESSORIES,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077262250,687077262250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HAIR ACCESSORIES,HAIR ACCESSORIES,HAIR ACCESSORIES,HAIR ACCESSORIES,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077262335,687077262335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D226,Tennis Dress White,Tennis Dress White,Tennis Dress White,Tennis Dress White,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077262540,687077262540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOLL RUFFLED LEGGINGS,DOLL RUFFLED LEGGINGS,DOLL RUFFLED LEGGINGS,DOLL RUFFLED LEGGINGS,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077263264,687077263264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOLL BACKPACK,DOLL BACKPACK,DOLL BACKPACK,DOLL BACKPACK,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077264032,687077264032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOLL HELMET,DOLL HELMET,DOLL HELMET,DOLL HELMET,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077264247,687077264247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOLL,DOLL,DOLL,DOLL,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077264834,687077264834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,RED BRUSH,RED BRUSH,RED BRUSH,RED BRUSH,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077261048,687077261048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOLL ALARM CLOCK,DOLL ALARM CLOCK,DOLL ALARM CLOCK,DOLL ALARM CLOCK,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077262687,687077262687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOLL TIGHTS,DOLL TIGHTS,DOLL TIGHTS,DOLL TIGHTS,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077262960,687077262960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PARIS DRESS,PARIS DRESS,PARIS DRESS,PARIS DRESS,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077264506,687077264506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E171,PRINCESS SET,PRINCESS SET,PRINCESS SET,PRINCESS SET,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,709951192535,709951192535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D269,White Lace Dress and Belt,White Lace Dress and Belt,White Lace Dress and Belt,White Lace Dress and Belt,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077264544,687077264544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#B167,"NYDC 11"" BLUE STRIP DOLL","NYDC 11"" BLUE STRIP DOLL","NYDC 11"" BLUE STRIP DOLL","NYDC 11"" BLUE STRIP DOLL",Others,Dolls,Dolls,NEW YORK DOLL,NEW YORK DOLL,709951192573,709951192573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOLL RAINCOAT SET,DOLL RAINCOAT SET,DOLL RAINCOAT SET,DOLL RAINCOAT SET,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077263967,687077263967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOLLPACK,DOLLPACK,DOLLPACK,DOLLPACK,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077264063,687077264063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOLL DRESS,DOLL DRESS,DOLL DRESS,DOLL DRESS,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077264513,687077264513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
