Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,TCB4,dot to dot coloring book,dot to dot coloring book,dot to dot coloring book,dot to dot coloring book,Coloring Books,Arts & Crafts,Rina & Dina ,Rina & Dina ,783078671081,783078671081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,506,Midos Tovos Coloring Book,Midos Tovos Coloring Book,Midos Tovos Coloring Book,Midos Tovos Coloring Book,Coloring Books,Arts & Crafts,Rina & Dina ,Rina & Dina ,24144523935,24144523935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,507J,Pinny & Shimmy Jumbo Coloring Book,Pinny & Shimmy Jumbo Coloring Book,Pinny & Shimmy Jumbo Coloring Book,Pinny & Shimmy Jumbo Coloring Book,Coloring Books,Arts & Crafts,Rina & Dina ,Rina & Dina ,783078671234,783078671234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SAS-02,Rina/Dina Stick -A- Scene - Walk,Rina/Dina Stick -A- Scene - Walk,Rina/Dina Stick -A- Scene - Walk,Rina/Dina Stick -A- Scene - Walk,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,24144524352,24144524352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLR-01,Color and Stick Outdoor Fun Poster,Color and Stick Outdoor Fun Poster,Color and Stick Outdoor Fun Poster,Color and Stick Outdoor Fun Poster,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,783078670855,783078670855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLR-02,Color and Stick Playground Poster,Color and Stick Playground Poster,Color and Stick Playground Poster,Color and Stick Playground Poster,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,783078670879,783078670879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FC-02,Stick -A- Face / Boys,Stick -A- Face / Boys,Stick -A- Face / Boys,Stick -A- Face / Boys,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,783078670930,783078670930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLR-03,Color and Stick Chanukah Poster,Color and Stick Chanukah Poster,Color and Stick Chanukah Poster,Color and Stick Chanukah Poster,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,783078670985,783078670985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FC-03,Stick -A- Face R/D with Friends,Stick -A- Face R/D with Friends,Stick -A- Face R/D with Friends,Stick -A- Face R/D with Friends,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,783078671180,783078671180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLNG03,Match Up / Lets Go Shopping / Reuseable Stickers,Match Up / Lets Go Shopping / Reuseable Stickers,Match Up / Lets Go Shopping / Reuseable Stickers,Match Up / Lets Go Shopping / Reuseable Stickers,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,24144523973,24144523973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLNG01,Clingies-Reusable Stickers and Boards,Clingies-Reusable Stickers and Boards,Clingies-Reusable Stickers and Boards,Clingies-Reusable Stickers and Boards,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,608938476425,608938476425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FUNDRS-UP,Dress Up Doll Kit,Dress Up Doll Kit,Dress Up Doll Kit,Dress Up Doll Kit,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,700465445582,700465445582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,206,Rina/Dina 4 pack Stickers Series 3,Rina/Dina 4 pack Stickers Series 3,Rina/Dina 4 pack Stickers Series 3,Rina/Dina 4 pack Stickers Series 3,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,608938476395,608938476395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,200,Rina/Dina 4 pack Stickers Series 1,Rina/Dina 4 pack Stickers Series 1,Rina/Dina 4 pack Stickers Series 1,Rina/Dina 4 pack Stickers Series 1,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,608938476456,608938476456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AL001,Rina/Dina Sticker Book,Rina/Dina Sticker Book,Rina/Dina Sticker Book,Rina/Dina Sticker Book,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,608866351764,608866351764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TIssue-05,TISSUE ART WITH STICKERS,TISSUE ART WITH STICKERS,TISSUE ART WITH STICKERS,TISSUE ART WITH STICKERS,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,24144524178,24144524178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,204,Rina/Dina 4 pack Stickers Series 2,Rina/Dina 4 pack Stickers Series 2,Rina/Dina 4 pack Stickers Series 2,Rina/Dina 4 pack Stickers Series 2,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,609722792776,609722792776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BD-02,Puffy Sticker Charm Bracelet & Necklace Kit,Puffy Sticker Charm Bracelet & Necklace Kit,Puffy Sticker Charm Bracelet & Necklace Kit,Puffy Sticker Charm Bracelet & Necklace Kit,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,783078670923,783078670923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SCRL1,"COLOR, CUT, N PASTE SCROLL","COLOR, CUT, N PASTE SCROLL","COLOR, CUT, N PASTE SCROLL","COLOR, CUT, N PASTE SCROLL",Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,783078671098,783078671098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOT-01,Dot it Sticker Craft / School Bus,Dot it Sticker Craft / School Bus,Dot it Sticker Craft / School Bus,Dot it Sticker Craft / School Bus,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,783078671166,783078671166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOT-02,Dot it Sticker Craft / Rina,Dot it Sticker Craft / Rina,Dot it Sticker Craft / Rina,Dot it Sticker Craft / Rina,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,783078671173,783078671173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FOIL-05,Foil Art Sticker Activity set,Foil Art Sticker Activity set,Foil Art Sticker Activity set,Foil Art Sticker Activity set,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,783078671630,783078671630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MTS-01,Match the Shape Sticker Craft,Match the Shape Sticker Craft,Match the Shape Sticker Craft,Match the Shape Sticker Craft,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,783078671258,783078671258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CSC-01,My First Colors Sticker Craft,My First Colors Sticker Craft,My First Colors Sticker Craft,My First Colors Sticker Craft,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,783078671241,783078671241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JSF01,Aleph Bais Re-Useable Sticker Folder,Aleph Bais Re-Useable Sticker Folder,Aleph Bais Re-Useable Sticker Folder,Aleph Bais Re-Useable Sticker Folder,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,783078671050,783078671050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CC-01,Design Your Own Challah Cover,Design Your Own Challah Cover,Design Your Own Challah Cover,Design Your Own Challah Cover,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,24144524246,24144524246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3DMEN,3D MENORAH CRAFT KIT,3D MENORAH CRAFT KIT,3D MENORAH CRAFT KIT,3D MENORAH CRAFT KIT,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,24144523911,24144523911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TWIST,MITZVA TWIST,MITZVA TWIST,MITZVA TWIST,MITZVA TWIST,Judaica Games,Games & Puzzles,Rina & Dina ,Rina & Dina ,608938476562,608938476562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MN-04,Rina and Dina Mitzva Note Pad,Rina and Dina Mitzva Note Pad,Rina and Dina Mitzva Note Pad,Rina and Dina Mitzva Note Pad,Stationary & School Supplies,Stationary & School Supplies,Rina & Dina ,Rina & Dina ,24144523874,24144523874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MN-05,Pinny and Shimmy Mitzvah Note Pad,Pinny and Shimmy Mitzvah Note Pad,Pinny and Shimmy Mitzvah Note Pad,Pinny and Shimmy Mitzvah Note Pad,Stationary & School Supplies,Stationary & School Supplies,Rina & Dina ,Rina & Dina ,24144523867,24144523867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BDCLK-06,DIAMOND PAINTING CLOCK,DIAMOND PAINTING CLOCK,DIAMOND PAINTING CLOCK,DIAMOND PAINTING CLOCK,Painting & Coloring,Arts & Crafts,Rina & Dina ,Rina & Dina ,24144523898,24144523898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
