Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,,PINK STRIPES HAT,PINK STRIPES HAT,PINK STRIPES HAT,PINK STRIPES HAT,Others,Adult Purim Costumes & Accessories,Rhode Island,Rhode Island,97138774293,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HAT,HAT,HAT,HAT,Others,Adult Purim Costumes & Accessories,Rhode Island,Rhode Island,97138722799,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HAT,HAT,HAT,HAT,Others,Adult Purim Costumes & Accessories,Rhode Island,Rhode Island,97138894397,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,hat,hat,hat,hat,Others,Adult Purim Costumes & Accessories,Rhode Island,Rhode Island,97138730787,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TIE DYE HAT,TIE DYE HAT,TIE DYE HAT,TIE DYE HAT,Others,Adult Purim Costumes & Accessories,Rhode Island,Rhode Island,97138642462,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GLASSES,GLASSES,GLASSES,GLASSES,Others,Adult Purim Costumes & Accessories,Rhode Island,Rhode Island,97138611697,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HAT,HAT,HAT,HAT,Others,Adult Purim Costumes & Accessories,Rhode Island,Rhode Island,97138682635,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GLASSES,GLASSES,GLASSES,GLASSES,Others,Adult Purim Costumes & Accessories,Rhode Island,Rhode Island,97138753069,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GLASSES,GLASSES,GLASSES,GLASSES,Others,Adult Purim Costumes & Accessories,Rhode Island,Rhode Island,97138704993,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GLASSES,GLASSES,GLASSES,GLASSES,Others,Adult Purim Costumes & Accessories,Rhode Island,Rhode Island,97138775320,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TKC-LIBUB,"T13 2.5"" KAWAII ANIMAL BUBBLE TEA LIQUID CLIP ON","T13 2.5"" KAWAII ANIMAL BUBBLE TEA LIQUID CLIP ON","T13 2.5"" KAWAII ANIMAL BUBBLE TEA LIQUID CLIP ON","T13 2.5"" KAWAII ANIMAL BUBBLE TEA LIQUID CLIP ON",Others,Animal & Nature Play,Rhode Island,Rhode Island,97138973146,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TKC-LISMO,"T13 3"" KAWAII ANIMAL SMOOTHIE LIQUID CLIP ON (24P","T13 3"" KAWAII ANIMAL SMOOTHIE LIQUID CLIP ON (24P","T13 3"" KAWAII ANIMAL SMOOTHIE LIQUID CLIP ON (24P","T13 3"" KAWAII ANIMAL SMOOTHIE LIQUID CLIP ON (24P",Others,Animal & Nature Play,Rhode Island,Rhode Island,97138973160,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TKC-KAMIL,"T13 2"" KAWAII ANIMAL MILK CARTON LIQUID CLIP ON","T13 2"" KAWAII ANIMAL MILK CARTON LIQUID CLIP ON","T13 2"" KAWAII ANIMAL MILK CARTON LIQUID CLIP ON","T13 2"" KAWAII ANIMAL MILK CARTON LIQUID CLIP ON",Others,Animal & Nature Play,Rhode Island,Rhode Island,97138973177,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KC-LILOO,Light-Up Loop Ball Backpack Clip,Light-Up Loop Ball Backpack Clip,Light-Up Loop Ball Backpack Clip,Light-Up Loop Ball Backpack Clip,Others,Backpacks & Pencil Cases,Rhode Island,Rhode Island,97138976611,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RD-DUCK3,RUBBER DUCKY,RUBBER DUCKY,RUBBER DUCKY,RUBBER DUCKY,Others,Bath & Water Play,Rhode Island,Rhode Island,97138640338,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,RUBBER DUCK,RUBBER DUCK,RUBBER DUCK,RUBBER DUCK,Others,Bath & Water Play,Rhode Island,Rhode Island,97138616395,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rubber Ducky,Rubber Ducky,Rubber Ducky,Rubber Ducky,Others,Bath & Water Play,Rhode Island,Rhode Island,97138747662,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,RUBBER CHINKEN,RUBBER CHINKEN,RUBBER CHINKEN,RUBBER CHINKEN,Others,Bath & Water Play,Rhode Island,Rhode Island,97138929266,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CA-WATSM,"4.75"" SMILE WATER WIGGLER","4.75"" SMILE WATER WIGGLER","4.75"" SMILE WATER WIGGLER","4.75"" SMILE WATER WIGGLER",Others,Bath & Water Play,Rhode Island,Rhode Island,97138626745,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GA-WGICE,"T13 ICE CREAM WATER GAME 45"" (24PCS/DISP)","T13 ICE CREAM WATER GAME 45"" (24PCS/DISP)","T13 ICE CREAM WATER GAME 45"" (24PCS/DISP)","T13 ICE CREAM WATER GAME 45"" (24PCS/DISP)",Others,Bath & Water Play,Rhode Island,Rhode Island,97138966384,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,YO-YOYO2,PREMIUM YO-YO,PREMIUM YO-YO,PREMIUM YO-YO,PREMIUM YO-YO,Others,Board & Classic Games,Rhode Island,Rhode Island,97138915665,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CA-ALISS,ALIEN SLINGSHOT,ALIEN SLINGSHOT,ALIEN SLINGSHOT,ALIEN SLINGSHOT,Others,Board & Classic Games,Rhode Island,Rhode Island,97138770219,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CA-FORO4,FOAM DART BLASTER,FOAM DART BLASTER,FOAM DART BLASTER,FOAM DART BLASTER,Others,Board & Classic Games,Rhode Island,Rhode Island,97138913197,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CA-JUMCH,CHINESE JUMP ROPE,CHINESE JUMP ROPE,CHINESE JUMP ROPE,CHINESE JUMP ROPE,Others,Board & Classic Games,Rhode Island,Rhode Island,97138616852,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,chicken slingshot,chicken slingshot,chicken slingshot,chicken slingshot,Others,Board & Classic Games,Rhode Island,Rhode Island,97138770202,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tic Tac Toe,Tic Tac Toe,Tic Tac Toe,Tic Tac Toe,Others,Board & Classic Games,Rhode Island,Rhode Island,97138612120,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GA-WOCHE,Wooden Chess Set,Wooden Chess Set,Wooden Chess Set,Wooden Chess Set,Others,Board & Classic Games,Rhode Island,Rhode Island,97138923547,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MINI PING PONG,MINI PING PONG,MINI PING PONG,MINI PING PONG,Others,Board & Classic Games,Rhode Island,Rhode Island,97138822895,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-META1,METAL SLINKY,METAL SLINKY,METAL SLINKY,METAL SLINKY,Others,Brain Teasers & Solo Play,Rhode Island,Rhode Island,97138663061,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-META2,METAL SLINGY,METAL SLINGY,METAL SLINGY,METAL SLINGY,Others,Brain Teasers & Solo Play,Rhode Island,Rhode Island,97138664525,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-COI80,"(T) 3"" (80mm) Coil Spring","(T) 3"" (80mm) Coil Spring","(T) 3"" (80mm) Coil Spring","(T) 3"" (80mm) Coil Spring",Others,Brain Teasers & Solo Play,Rhode Island,Rhode Island,97138611321,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
